username, created_at, lng, lat, text
michaelnef44, Sat Jan 30 03:36:20 +0000 2021, -117.116533, 32.573709, Yes Brian Giesenschlag, Savard’s beard is so full, you could hide a small curly fries in it. *badum ts* #CBJ 
Ratchett_boss, Sat Jan 30 03:36:20 +0000 2021, -97.753840, 31.079307, @Garry_Lawal @NazimRUs Yes 
ymarathe, Sat Jan 30 03:36:20 +0000 2021, -85.922362, 39.211432, @brianrkramer Let me introduce you to Bolivia https://t.co/OmsLgKrVu0 
Helen_Highly, Sat Jan 30 03:36:20 +0000 2021, -73.968542, 40.780709, @JoyAnnReid Who is “they” exactly? Isn’t it time we start saying simply they ARE extremists? The republican party is now the Treason Party. 
MadisonHope_16, Sat Jan 30 03:36:20 +0000 2021, -94.696224, 37.405767, @_kaci_lee https://t.co/rBRA5tpmly 
22tbrads22, Sat Jan 30 03:36:20 +0000 2021, -86.856560, 33.124701, @_BB3_ Under .800 OPS away from coors, don’t care. 
ms_naturalgirl, Sat Jan 30 03:36:20 +0000 2021, -89.922029, 35.133521, Watching #LittleWomenATL 
callmemj23, Sat Jan 30 03:36:20 +0000 2021, -80.761158, 41.097471, itching for a red tattoo , it’s gon take years to get into anybody’s chair though 🥴🤣 
ariieevanitii, Sat Jan 30 03:36:20 +0000 2021, -117.104989, 32.810012, Y’all I wanted to do the silhouette challenge but the more I see the more I cringe it’s kinda awkward 
danicaeve, Sat Jan 30 03:36:20 +0000 2021, -86.791549, 36.200008, SEC reviewing volatility amid GameStop frenzy, vows to protect retail investors https://t.co/b5VL3EpJMf 
PaulKingsley7, Sat Jan 30 03:36:20 +0000 2021, -75.770041, 42.746617, @chrislerch @WillCleveland13 @DandC Pezzola’s nickname is “Spaz”. 
LlcMisty, Sat Jan 30 03:36:20 +0000 2021, -82.576345, 36.975659, I always wanted to do things I couldn’t...I don’t think there’s anything wrong with that either. I learn. 
goshikistan, Sat Jan 30 03:36:21 +0000 2021, -97.114771, 33.202495, metzlers i love you 
PH1Losophical, Sat Jan 30 03:36:21 +0000 2021, -95.446486, 29.838495, Me before every beer pong game 
leboongo, Sat Jan 30 03:36:21 +0000 2021, -75.625038, 45.482744, @EmmanuelEmmab @benjimk 🤣🤣🤣🤣🤣 
mscarrieboo_, Sat Jan 30 03:36:21 +0000 2021, -93.809434, 32.461107, God Is Great 🙏🏼 
COMEUPQUEEN, Sat Jan 30 03:36:21 +0000 2021, -118.411907, 34.020789, Omg 
Johnnyv78, Sat Jan 30 03:36:21 +0000 2021, -118.731399, 34.267311, Im bored want to leave 
BeauClesca, Sat Jan 30 03:36:21 +0000 2021, -74.211700, 40.766000, ❤️🇭🇹🇺🇸•Pa kite yo vin di w’.•Don’t let them come and tell you.•Ne les laissez pas venir vous dire.•No les dej… https://t.co/kHF0PXQEig 
AlliCinema, Sat Jan 30 03:36:21 +0000 2021, -118.411907, 34.020789, That awkward moment when OJ gets his vaccine before you do. https://t.co/JVI4Cv8EBM 
oatmama_, Sat Jan 30 03:36:21 +0000 2021, -85.641142, 42.956412, In the two years of not owning a car, I forgot a fundamental of my personality which is: sitting in my car in a par… https://t.co/KKz5Gr1YwR 
RussellVine1981, Sat Jan 30 03:36:21 +0000 2021, -119.306608, 37.269176, How is it 
Cowbell_Kingdom, Sat Jan 30 03:36:21 +0000 2021, -121.469664, 38.561722, Say no to TANKING #SacramentoProud 📱https://t.co/kl4N1Y5VmL https://t.co/dzifTrtBkD 
seniordonkey, Sat Jan 30 03:36:21 +0000 2021, -71.103453, 42.118578, Might have to cop one 🔥 
Chefjuanmora, Sat Jan 30 03:36:22 +0000 2021, -88.447387, 43.762552, @CheapSeats411 @Harp4803 @Terence_M_Young @theaaronhansen @MailmanJack65 @White_Sox_Talk @S_K_POWELL… https://t.co/rdG52amXQi 
CliftonGrooms, Sat Jan 30 03:36:22 +0000 2021, -94.827686, 39.758329, This hit like a ton bricks today. I don’t have many words to say at the moment. RIP to my step brother Seth love yo… https://t.co/JFWKKGlt5o 
lilavvocado, Sat Jan 30 03:36:22 +0000 2021, -93.262046, 44.970610, @user000000o1 Jesus Christ 
soulidt, Sat Jan 30 03:36:22 +0000 2021, -80.926628, 33.631140, Gimme me some female assassin movies to watch. 
ball_trever, Sat Jan 30 03:36:22 +0000 2021, -123.029015, 44.935084, One of the best I’ve ever worked with! Love ya Larkin. Good luck in your journey to the beyond👊🏻 
allena__x, Sat Jan 30 03:36:22 +0000 2021, -123.123581, 49.257639, @Kaylightning I'm sending you all my love 💕 https://t.co/05p40MX5bZ 
MuskokaCoach18, Sat Jan 30 03:36:22 +0000 2021, -79.189872, 45.047623, Just got home from the rink and heard in order for Canada to battle the UK variant of Covid we have banned all flig… https://t.co/CEImgLdhiM 
JohnAmorim4, Sat Jan 30 03:36:22 +0000 2021, -75.117998, 40.004866, @MiamiHerald @Carl_Hiaasen This guy is a pathological liar. 
